"revista_id","revista","issn_canonico"
"REV-0001","EUROPEAN JOURNAL OF CLINICAL NUTRITION","0954-3007; 1476-5640"
"REV-0002","CUADERNOS DEL CLAEH-CENTRO LATINOAMERICANO DE ECONOMIA HUMANA","0797-6062; 2393-5979"
"REV-0003","Towards a Comparative Analysis of Social Inequalities between Europe and Latin America","3030484415; 3030484422"
"REV-0004","ULTIMA DECADA","0717-4691; 0718-2236"
"REV-0005","CALIDAD EN LA EDUCACION","0717-4004; 0718-4565"
"REV-0006","Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud","1692-715X"
"REV-0007","HUMANIDADES & INOVACAO","2358-8322"
"REV-0008","TEMAS Y DEBATES","1666-0714; 1853-984X"
"REV-0009","REVISTA MAD-REVISTA DEL MAGISTER EN ANALISIS SISTEMICO APLICADO A LA SOCIEDAD","0718-0527"
"REV-0010","BMC GERIATRICS","1471-2318"
"REV-0011","INTERAMERICAN JOURNAL OF PSYCHOLOGY","0034-9690"
"REV-0012","REVISTA MEXICANA DE CIENCIAS POLITICAS Y SOCIALES","0185-1918; 2448-492X"
"REV-0013","CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY","0718-4123"
"REV-0014","ESTUDIOS ATACAMENOS","0716-0925; 0718-1043"
"REV-0015","SAUDE E SOCIEDADE","0104-1290; 1984-0470"
"REV-0016","LATIN AMERICAN RESEARCH REVIEW","0023-8791; 1542-4278"
"REV-0017","BIOLOGICAL RESEARCH","0716-9760; 0717-6287"
"REV-0018","FRONTIERS IN PSYCHOLOGY","1664-1078"
"REV-0019","SOCIOLOGICAL METHODS & RESEARCH","0049-1241; 1552-8294"
"REV-0020","REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION-E AVALIACAO PSICOLOGICA","1135-3848; 2183-6051"
"REV-0021","Sociologia & Antropologia","2236-7527; 2238-3875"
"REV-0022","GESTION Y POLITICA PUBLICA","1405-1079; 2448-9182"
"REV-0023","Revista Brasileira de Educacao","1413-2478; 1809-449X"
"REV-0024","HISTORIA-SANTIAGO","0073-2435; 0717-7194"
"REV-0025","EDUCACAO E SOCIEDADE","0101-7330; 1678-4626"
"REV-0026","AGING & MENTAL HEALTH","1360-7863; 1364-6915"
"REV-0027","SOCIAL WORK EDUCATION","0261-5479; 1470-1227"
"REV-0028","CAMBRIDGE ARCHAEOLOGICAL JOURNAL","0959-7743; 1474-0540"
"REV-0029","Memorias: Revista digital de historia y arqueologia desde el caribe","1794-8886"
"REV-0030","AGER-REVISTA DE ESTUDIOS SOBRE DESPOBLACION Y DESARROLLO RURAL","1578-7168"
"REV-0031","Polis (Santiago)","0717-6554; 0718-6568"
"REV-0032","ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY","1387-585X; 1573-2975"
"REV-0033","CINTA DE MOEBIO","0717-554X"
"REV-0034","ESPACIO ABIERTO","1315-0006"
"REV-0035","SCIENTIFIC REPORTS","2045-2322"
"REV-0036","NATURAL HAZARDS","0921-030X; 1573-0840"
"REV-0037","JOURNAL OF YOUTH STUDIES","1367-6261; 1469-9680"
"REV-0038","CADERNOS DE SAUDE PUBLICA","0102-311X; 1678-4464"
"REV-0039","JOURNAL OF CHILD AND FAMILY STUDIES","1062-1024; 1573-2843"
"REV-0040","PSICOLOGIA EDUCATIVA","1135-755X; 2174-0526"
"REV-0041","PSYCHOANALYSIS CULTURE & SOCIETY","1088-0763; 1543-3390"
