folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
23289;(an)ecdótica;"Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas";1;1;9727;México;2683-166X;2683-166X;;"Literatura, Filología"
21565;(Con)textos;"Universitat de Barcelona";1;1;8675;España;2013-0864;2013-0864;;Antropología
28588;(Des)troços;"Universidade Federal de Minas Gerais (UFMG)";1;1;11500;Brasil;2763-518X;2763-518X;;"Ciencias sociales y humanidades, Derecho y jurisprudencia, Filosofía, Humanidades, Estudios de género, Derechos humanos"
23305;"(En)clave Comahue";"Universidad Nacional del Comahue, Facultad de Derecho y Ciencias Sociales";1;1;9736;Argentina;2545-6393;2545-6393;;"Ciencia política y administración pública, Ciencias sociales y humanidades"
22285;"[I²]: innovación e investigación en arquitectura y territorio";"Universidad de Alicante";1;1;9179;España;2341-0515;2341-0515;;"Arquitectura, Bellas artes, Urbanismo"
22037;[IN]Genios;"Universidad de Puerto Rico, Recinto de Río Piedras.";1;1;9013;"Puerto Rico";2374-2747;2374-2747;;Multidisciplinarias
46;[Sic];"Asociación de Profesores de Literatura";1;1;29;Uruguay;1688-9398;1688-9398;1688-938X;"Cultura, Literatura, Humanidades"
25160;#PerDebate;"Universidad San Francisco de Quito";1;1;10444;Ecuador;2697-3294;;;"Ciencias de la comunicación"
24857;"1991. Revista de Estudios Internacionales";"Universidad Nacional de Córdoba, Facultad de Ciencias Sociales";1;1;10341;Argentina;2683-720X;2683-720X;;"Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho internacional, Relaciones internacionales"
27691;"2I Revista de estudos de identidade e intermedialidade";"Centro de Estudos Humanísticos da Universidade do Minho";1;1;11201;Portugal;2184-7010;2184-7010;;"Arte, Filosofía, Literatura, Humanidades"
24858;360;"Pontificia Universidad Católica del Perú. Departamento Académico de Ciencias de la Gestión";1;1;10342;Perú;2518-0495;2415-5861;;Administración
18844;"3C empresa";"Área de Innovación y Desarrollo S.L.";1;1;7049;España;2254-3376;2254-3376;;"Desarrollo económico, Economía de la empresa, Planeamiento científico y tecnológico"
18845;"3C tecnología";"Área de innovación y desarrollo S.L";1;1;7050;España;2254-4143;2254-4143;;Tecnología
18846;"3C TIC";"Área de Innovación y Desarrollo S.L.";1;1;7051;España;2254-6529;2254-6529;;Computación
61;"452º F. Revista de Teoría de la literatura y Literatura Comparada";"Asociación Cultural 452ºF";1;1;31;España;2013-3294;;;Literatura
24065;"A Contracorriente";"North Carolina State University, Department of Foreign Languages and Literatures";1;1;10112;"Iberoamericanistas-América del Norte";1548-7083;1548-7083;;"Lingüística, Literatura, Estudios latinoamericanos"
24130;"A&P continuidad";"A&P Ediciones";1;1;10135;Argentina;2362-6097;2362-6089;;"Arquitectura, Diseño, Urbanismo"
22666;A3manos;"Universidad de La Habana, Instituto Superior de Diseño";1;1;11470;Cuba;2412-5105;2412-5105;;Diseño
24157;"Ab Intus";"Universidad Nacional de Río Cuarto, Facultad de Agronomía y Veterinaria";1;1;10150;Argentina;2618-2734;2618-2734;;"Agronomía, Ganadería, Pesca, Silvicultura, Veterinaria, Zootecnia"
122;"Abanico veterinario";"Sergio Martínez González";1;1;47;México;2448-6132;2007-428X;2007-428X;"Ecología, Ganadería, Parasitología, Veterinaria, Zoología, Zootecnia"
132;"Abra ";"Universidad Nacional de Costa Rica";1;1;48;"Costa Rica";2215-2997;1409-3928;1409-3928;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Educación, Geografía, Historia, Sociología"
21729;Abril;"Universidade Federal Fluminense (UFF)";1;1;8793;Brasil;1984-2090;1984-2090;;Literatura
22094;Academia;"Universidad de Buenos Aires. Facultad de Derecho. Departamento de Publicaciones.";1;1;9043;Argentina;2422-7153;1667-4154;;"Derecho y jurisprudencia"
18853;"Academia XXII";"Universidad Nacional Autónoma de México, Facultad de Arquitectura";1;1;7054;México;2594-083X;2007-252X;2007-252X;"Arquitectura, Urbanismo"
22803;Academo;"Universidad Americana";1;1;9459;Paraguay;2414-8938;2414-8938;;"Ciencias sociales y humanidades, Multidisciplinarias, Humanidades"
28886;"Ação Ergonômica";"Associação Brasileira de Ergonomia (ABERGO)";1;1;11543;Brasil;2965-7318;1519-7859;;"Ciencias sociales y humanidades"
24685;"Acc Cietna";"Universidad Católica Santo Toribio de Mogrovejo, Escuela de Enfermería";1;1;10278;Perú;2309-8570;2309-8570;;Enfermería
28293;ACCADERE;"Universidad de La Laguna";1;1;11379;España;2660-9142;2660-9142;;"Arte, Artes plásticas, Cine, Cultura, Historia del arte, Pintura"
163;"Acceso: Revista Puertorriqueña de Bibliotecología y Documentación";"Sociedad de Bibliotecarios de Puerto Rico";1;1;53;"Puerto Rico";2690-0270;1536-1772;1536-1772;"Bibliotecología, Ciencias de la información"
27004;Accesos;"GIPAFCoCo (Grupo de investigación Prácticas Artísticas y Formas de Conocimiento Contemporáneas)";1;1;11162;España;2530-4488;2530-447X;2530-447X;"Arte, Artes plásticas, Bellas artes, Fotografía, Historia del arte, Pintura"
164;Acción;"Universidad de Ciencias de la Cultura Física y el Deporte “Manuel Fajardo”";1;1;54;Cuba;1812-5808;1608-3792;;Deportes
168;"Acción Motriz";"Asociación Científico Cultural en Actividad Física y Deporte (ACCAFIDE)";1;1;56;España;1989-2837;1989-2837;;Deportes
171;"Acción psicológica";"Universidad Nacional de Educación a Distancia, Facultad de Psicología, Servicio de Psicología Aplicada";1;1;58;España;2255-1271;1578-908X;1578-908X;Psicología
23919;"Acción y Reflexión Educativa";"Universidad de Panamá, Instituto Centroamericano de Administración y Supervisión de la Educación (ICASE)";1;1;10055;Panamá;2644-3775;1563-2911;;"Educación, Planificación educativa, Tecnología educativa, Educación media o secundaria, Educación primaria, Educación superior"
173;"Acciones e investigaciones sociales";"Universidad de Zaragoza, Facultad de Ciencias Sociales y del Trabajo";1;1;59;España;2340-4507;1132-192X;1132-192X;"Derecho laboral, Economía, Sociología, Trabajo social"
23953;"ACDI Anuario Colombiano de Derecho Internacional";"Editorial Universidad del Rosario";1;1;11425;Colombia;2145-4493;2027-1131;2027-1131;"Derecho internacional"
