coleccion,titulo,idioma_principal,idiomas_pub,issn
arg,Anales de la Asociación Química Argentina,en,es; en,03650375
arg,The Journal of Argentine Chemical Society,en,es; en,18521428
arg,Revista argentina de neurocirugía,es,es; en,18501532
arg,Kurtziana,es,es; en,18525962
arg,Ameghiniana,es,es; en,00027014
arg,Ameghiniana,es,es; en,18518044
arg,Revista argentina de sociología,es,es; en,16693248
arg,Cuadernos de historia de España,es,es; en,18502717
arg,Cuadernos de historia de España,es,es; en,03251195
arg,Revista de la Asociación Argentina de Sedimentología,es,es; en,18536360
arg,Revista de la Asociación Argentina de Sedimentología,es,es; en,03281159
arg,Revista de la Unión Matemática Argentina,es,en,16699637
arg,Revista de la Unión Matemática Argentina,es,en,00416932
arg,Biocell,en,en,16675746
arg,Biocell,en,en,03279545
arg,Temas medievales,es,es; fr; en,18502628
arg,Temas medievales,es,es; fr; en,03275094
arg,Cuadernos de antropología social,es,es; en; pt,1850275X
arg,Runa,es,es,18519628
arg,Trabajo y sociedad,es,es; en,15146871
arg,Anuario de investigaciones,es,es; en,18511686
arg,Revista argentina de antropología biológica,en,es; en,15147991
arg,Latin American applied research,en,en,03270793
arg,Latin American applied research,en,en,18518796
arg,Documentos y aportes en administración pública y gestión estatal,es,es; en,18513727
arg,Relaciones,es,en,03252221
arg,Relaciones,es,en,18521479
arg,Revista de Ciencia y Tecnología,es,es; en,18517587
arg,Revista de la Asociación Geológica Argentina,es,es; en,18518249
arg,Revista de la Asociación Geológica Argentina,es,es; en,00044822
arg,Bonplandia,es,es; en,05240476
arg,Bonplandia,es,es; en,18538460
arg,Apuntes de investigación del CECYP,es,es; en,18519814
arg,Cuadernos de herpetología,es,es; en,18525768
arg,Phyton (Buenos Aires),es,es; en,18515657
arg,Geoacta,es,es; fr; en,18527744
arg,Medicina (Buenos Aires),es,es; en,16699106
arg,Medicina (Buenos Aires),es,es; en,00257680
arg,Quebracho (Santiago del Estero),es,es,03280543
arg,Quebracho (Santiago del Estero),es,es,18513026
arg,Subjetividad y procesos cognitivos,es,es; en,18527310
arg,Revista de la Facultad,es,es,18509371
arg,Revista de la Facultad,es,es,23143061
arg,Revista Argentina de Ciencias del Comportamiento,es,es; en; pt,18524206
arg,Revista iberoamericana de ciencia tecnología y sociedad,es,es; en,18500013
arg,Acta geológica lilloana,es,es; en,18526217
arg,Acta geológica lilloana,es,es; en,05677513
arg,Comechingonia,es,en,18510027
arg,Visión de futuro,es,es; en,16688708
arg,Visión de futuro,es,es; en,16697634
