sourcerecord_id,source_title,issn,eissn,active_or_inactive,coverage,titles_discontinued_by_scopus,article_language_in_source_three_letter_iso_language_codes,medline_sourced_title_see_additional_details_under_separate_tab,open_access_status,articles_in_press_included,added_to_list_may_2026,source_type,title_history_indication,related_title_1,other_related_title_2,other_related_title_3,other_related_title_4,publisher,publisher_imprints_grouped_to_main_publisher,all_science_journal_classification_codes_asjc,top_level_life_sciences,top_level_social_sciences,top_level_physical_sciences,top_level_health_sciences,x1000_general,x1100_agricultural_and_biological_sciences,x1200_arts_and_humanities,x1300_biochemistry_genetics_and_molecular_biology,x1400_business_management_and_accounting,x1500_chemical_engineering,x1600_chemistry,x1700_computer_science,x1800_decision_sciences,x1900_earth_and_planetary_sciences,x2000_economics_econometrics_and_finance,x2100_energy,x2200_engineering,x2300_environmental_science,x2400_immunology_and_microbiology,x2500_materials_science,x2600_mathematics,x2700_medicine,x2800_neuroscience,x2900_nursing,x3000_pharmacology_toxicology_and_pharmaceutics,x3100_physics_and_astronomy,x3200_psychology,x3300_social_sciences,x3400_veterinary,x3500_dentistry,x3600_health_professions
21101170611,@GRH,20349130,22959149,Active,2023-2024,NA,ENG; FRE,NA,NA,NA,NA,Journal,NA,NA,NA,NA,NA,Association Francophone de Gestion des Relations Humaines,Association Francophone de Gestion des Relations Humaines,1407,NA,Social Sciences,NA,NA,NA,NA,NA,NA,"Business, Management and Accounting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21100832755,1700-tal: Nordic Journal for Eighteenth-Century Studies,16524772,20019866,Active,2019-2024; 2016-2017,NA,DAN; FIN; GER; NOR,NA,Unpaywall Open Access,NA,NA,Journal,NA,NA,NA,NA,NA,Swedish Society for Eighteenth-Century Studies,Swedish Society for Eighteenth-Century Studies,1213; 3316; 1202,NA,Social Sciences,NA,NA,NA,NA,Arts and Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Social Sciences,NA,NA,NA
21101194408,20 & 21: Revue d'Histoire,2649664X,26496100,Active,2022-2024,NA,ENG; FRE,NA,NA,NA,NA,Journal,Formerly known as,Vingtieme Siecle: Revue d'Histoire,NA,NA,NA,Presses de Sciences Po,Presses de Sciences Po,1202,NA,Social Sciences,NA,NA,NA,NA,Arts and Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21100404576,2D Materials,NA,20531583,Active,2014-2026,NA,ENG,NA,NA,NA,NA,Journal,NA,NA,NA,NA,NA,IOP Publishing Ltd.,Institute of Physics Publishing,2210; 2211; 3104; 2500; 1600,NA,NA,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,Chemistry,NA,NA,NA,NA,NA,Engineering,NA,NA,Materials Science,NA,NA,NA,NA,NA,Physics and Astronomy,NA,NA,NA,NA,NA
21100447128,3 Biotech,2190572X,21905738,Active,2011-2026,NA,ENG,NA,NA,NA,NA,Journal,NA,NA,NA,NA,NA,Springer Science and Business Media Deutschland GmbH,Springer Nature,2301; 1101; 1305,Life Sciences,NA,Physical Sciences,NA,NA,Agricultural and Biological Sciences,NA,"Biochemistry, Genetics and Molecular Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,Environmental Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21100779062,3D Printing and Additive Manufacturing,23297662,23297670,Active,2014-2026,NA,ENG,NA,NA,Articles in Press,NA,Journal,NA,NA,NA,NA,NA,SAGE Publications Ltd,SAGE,2501; 2209,NA,NA,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineering,NA,NA,Materials Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21100932761,3D Printing in Medicine,NA,23656271,Active,2016-2026,NA,ENG,NA,Unpaywall Open Access,NA,NA,Journal,NA,NA,NA,NA,NA,BioMed Central Ltd,Springer Nature,2741; 1706; 2204,NA,NA,Physical Sciences,Health Sciences,NA,NA,NA,NA,NA,NA,NA,Computer Science,NA,NA,NA,NA,Engineering,NA,NA,NA,NA,Medicine,NA,NA,NA,NA,NA,NA,NA,NA,NA
19700200922,"3L: Language, Linguistics, Literature",01285157,25502247,Active,2008-2026,NA,ENG,NA,Unpaywall Open Access,NA,NA,Journal,NA,NA,NA,NA,NA,Penerbit Universiti Kebangsaan Malaysia,Penerbit Universiti Kebangsaan Malaysia,3310; 1208; 1203,NA,Social Sciences,NA,NA,NA,NA,Arts and Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Social Sciences,NA,NA,NA
21101005201,452ºF,NA,20133294,Active,2019-2025,NA,CAT; SPA,NA,Unpaywall Open Access,NA,NA,Journal,NA,NA,NA,NA,NA,"Universitat de Barcelona, Facultad de Filologia","Universitat de Barcelona, Facultad de Filologia",1208,NA,Social Sciences,NA,NA,NA,NA,Arts and Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145295,4OR,16194500,16142411,Active,2003-2026,NA,ENG,NA,NA,Articles in Press,NA,Journal,NA,NA,NA,NA,NA,Springer,Springer Nature,1703; 1803; 1404; 2614,NA,Social Sciences,Physical Sciences,NA,NA,NA,NA,NA,"Business, Management and Accounting",NA,NA,Computer Science,Decision Sciences,NA,NA,NA,NA,NA,NA,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
