revista_id,revista,issn_canonico
REV-0001,Social-ecological Systems of Latin America: Complexities and Challenges,00000978
REV-0002,ACTA PSYCHOLOGICA,00016918; 18736297
REV-0003,Acta Tropica,0001706X
REV-0004,AMERICAN BEHAVIORAL SCIENTIST,00027642; 15523381
REV-0005,American Journal of Physical Anthropology,00029483; 10968644
REV-0006,ANTHROPOLOGISCHER ANZEIGER,00035548
REV-0007,ANTIQUITY,0003598X; 17451744
REV-0008,ARCHAEOMETRY,0003813X; 14754754
REV-0009,ARCHIVOS LATINOAMERICANOS DE NUTRICION,00040622
REV-0010,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,00057916; 18737943
REV-0011,Child Development,00093920; 14678624
REV-0012,Child Psychiatry & Human Development,0009398X; 15733327
REV-0013,CONTRACEPTION,00107824; 18790518
REV-0014,Philosophy & Social Criticism,00112860; 01914537; 1461734X
REV-0015,CURRENT SOCIOLOGY,00113921; 14617064
REV-0016,DADOS-REVISTA DE CIENCIAS SOCIAIS,00115258; 16784588
REV-0017,Economic Botany,00130001; 18749364
REV-0018,EDUCATIONAL REVIEW,00131911; 14653397
REV-0019,Futures,00163287; 18736378
REV-0020,Geographical Journal,00167398; 14754959
REV-0021,Homme et la Societe,00184306; 21010226
REV-0022,HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,0018442X; 16181301
REV-0023,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,00207152; 17452554
REV-0024,INTERNATIONAL JOURNAL OF EARLY CHILDHOOD,00207187
REV-0025,International Journal of Psychology,00207594; 1464066X
REV-0026,INTERNATIONAL JOURNAL OF SOCIOLOGY,00207659; 15579336
REV-0027,INTERNATIONAL LABOUR REVIEW,00207780; 1564913X
REV-0028,International Social Work,00208728; 14617234
REV-0029,Journal of Anatomy,00218782; 14697580
REV-0030,Journal of Applied Social Psychology,00219029; 15591816
REV-0031,Atherosclerosis,00219150; 18791484
REV-0032,JOURNAL OF BIOSOCIAL SCIENCE,00219320; 14697599
REV-0033,JOURNAL OF CLINICAL PSYCHOLOGY,00219762; 10974679
REV-0034,JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,00220116; 15733564
REV-0035,The Journal of Ecclesiastical History,00220469; 14697637
REV-0036,The Journal of Educational Research,00220671; 19400675
REV-0037,JOURNAL OF GENERAL PSYCHOLOGY,00221309; 19400888
REV-0038,JOURNAL OF INDUSTRIAL RELATIONS,00221856; 14729296
REV-0039,Journal of Latin American Studies,0022216X; 1469767X
REV-0040,Journal of Religion and Health,00224197; 15736571
REV-0041,Journal of Social History,00224529; 15271897
REV-0042,The Journal of Social Psychology,00224545; 19401183
REV-0043,LATIN AMERICAN RESEARCH REVIEW,00238791; 15424278
REV-0044,LEARNING AND MOTIVATION,00239690; 10959122
REV-0045,Materials and Structures,00255432; 13595997; 18716873
REV-0046,MINERVA,00264695; 15731871
