"doi","estado_consulta","http_status","consultado_en","detalle","n_autorias","posible_truncamiento"
"10.1002/jclp.22525","encontrado",200,"2026/09/08 16:17:13",,5,FALSE
"10.1007/s10761-016-0386-x","encontrado",200,"2026/09/08 16:17:19",,2,FALSE
"10.1007/s11205-020-02551-0","encontrado",200,"2026/09/08 16:17:23",,3,FALSE
"10.1016/j.ijpp.2016.01.002","encontrado",200,"2026/09/08 16:17:34",,7,FALSE
"10.1016/j.rmclc.2019.11.011","encontrado",200,"2026/09/08 16:17:49",,10,FALSE
"10.1016/j.tbs.2022.11.004","encontrado",200,"2026/09/08 16:17:50",,6,FALSE
"10.1017/s0021932019000890","encontrado",200,"2026/09/08 16:17:55",,9,FALSE
"10.1080/02109395.2016.1189204","encontrado",200,"2026/09/08 16:18:04",,4,FALSE
"10.1080/02615479.2020.1813702","encontrado",200,"2026/09/08 16:18:04",,4,FALSE
"10.1080/02615479.2022.2115028","encontrado",200,"2026/09/08 16:18:05",,3,FALSE
"10.1080/03601277.2021.2004507","encontrado",200,"2026/09/08 16:18:07",,7,FALSE
"10.1080/13607863.2018.1531378","encontrado",200,"2026/09/08 16:18:15",,7,FALSE
"10.1080/14733285.2021.1900543","encontrado",200,"2026/09/08 16:18:16",,2,FALSE
"10.11600/rlcsnj.20.2.5070","encontrado",200,"2026/09/08 16:18:29",,2,FALSE
"10.1163/24714607-bja10063","encontrado",200,"2026/09/08 16:18:31",,3,FALSE
"10.1177/02103702231224653","encontrado",200,"2026/09/08 16:18:32",,4,FALSE
"10.1177/09593535221143595","encontrado",200,"2026/09/08 16:18:33",,2,FALSE
"10.1177/09593543211002267","encontrado",200,"2026/09/08 16:18:34",,2,FALSE
"10.1186/s12889-025-24936-x","encontrado",200,"2026/09/08 16:18:41",,5,FALSE
"10.14507/epaa.28.3884","encontrado",200,"2026/09/08 16:18:53",,3,FALSE
"10.1590/1982-0259.2025.e105604","encontrado",200,"2026/09/08 16:19:07",,1,FALSE
"10.1590/1984-6487.sess.2025.29120834","encontrado",200,"2026/09/08 16:19:08",,3,FALSE
"10.1590/2175-6236118081","encontrado",200,"2026/09/08 16:19:08",,2,FALSE
"10.1590/es.235922","encontrado",200,"2026/09/08 16:19:11",,3,FALSE
"10.18800/educacion.201802.009","encontrado",200,"2026/09/08 16:19:24",,4,FALSE
"10.21703/0718-5162.v21.n45.2022.013","encontrado",200,"2026/09/08 16:19:28",,5,FALSE
"10.22199/issn.0718-1043-2020-0007","encontrado",200,"2026/09/08 16:19:32",,3,FALSE
"10.22199/issn.0718-1043-2022-0017","encontrado",200,"2026/09/08 16:19:33",,2,FALSE
"10.22201/fcpys.2448492xe.2022.244.70386","encontrado",200,"2026/09/08 16:19:35",,3,FALSE
"10.22325/fes/res.2020.37","encontrado",200,"2026/09/08 16:19:38",,3,FALSE
"10.24205/03276716.2017.1011","encontrado",200,"2026/09/08 16:19:41",,10,FALSE
"10.26489/rvs.v35i51.8","encontrado",200,"2026/09/08 16:19:48",,1,FALSE
"10.3389/fpsyg.2024.1485569","encontrado",200,"2026/09/08 16:20:07",,6,FALSE
"10.3390/soc14120258","encontrado",200,"2026/09/08 16:20:12",,3,FALSE
"10.4067/s0034-98872019000500579","encontrado",200,"2026/09/08 16:20:20",,10,FALSE
"10.4067/s0250-71612018000100005","encontrado",200,"2026/09/08 16:20:24",,3,FALSE
"10.4067/s0717-554x2016000300003","encontrado",200,"2026/09/08 16:20:25",,3,FALSE
"10.4067/s0717-554x2019000200209","encontrado",200,"2026/09/08 16:20:26",,3,FALSE
"10.4067/s0717-554x2020000200167","encontrado",200,"2026/09/08 16:20:27",,3,FALSE
"10.4067/s0717-554x2024000200119","encontrado",200,"2026/09/08 16:20:28",,3,FALSE
"10.4067/s0717-73562016005000004","encontrado",200,"2026/09/08 16:20:29",,2,FALSE
"10.4067/s0718-07052016000200004","encontrado",200,"2026/09/08 16:20:36",,2,FALSE
"10.4067/s0718-07052016000400005","encontrado",200,"2026/09/08 16:20:37",,3,FALSE
"10.4067/s0718-07052020000200299","encontrado",200,"2026/09/08 16:20:41",,5,FALSE
"10.4067/s0718-07052021000300007","encontrado",200,"2026/09/08 16:20:42",,6,FALSE
"10.4067/s0718-07052022000400435","encontrado",200,"2026/09/08 16:20:43",,1,FALSE
"10.4067/s0718-090x2022005000114","encontrado",200,"2026/09/08 16:20:45",,4,FALSE
"10.4067/s0718-10432016005000003","encontrado",200,"2026/09/08 16:20:46",,2,FALSE
"10.4067/s0718-10432016005000011","encontrado",200,"2026/09/08 16:20:47",,1,FALSE
"10.4067/s0718-22362016000100004","encontrado",200,"2026/09/08 16:20:48",,3,FALSE
"10.4067/s0718-22362020000100078","encontrado",200,"2026/09/08 16:20:48",,3,FALSE
"10.4067/s0718-48082024000300331","encontrado",200,"2026/09/08 16:20:53",,13,FALSE
"10.4067/s0719-26812019000200021","encontrado",200,"2026/09/08 16:20:56",,6,FALSE
"10.4067/s0719-26812024000300109","encontrado",200,"2026/09/08 16:21:00",,3,FALSE
"10.4081/ripppo.2016.189","encontrado",200,"2026/09/08 16:21:02",,3,FALSE
"10.4206/rev.austral.cienc.soc.2022.n43-11","encontrado",200,"2026/09/08 16:21:05",,2,FALSE
"10.5027/psicoperspectivas-vol15-issue1-fulltext-718","encontrado",200,"2026/09/08 16:21:09",,2,FALSE
"10.5093/apj2018a12","encontrado",200,"2026/09/08 16:21:13",,9,FALSE
"10.5281/zenodo.3872528","encontrado",200,"2026/09/08 16:21:18",,1,FALSE
"10.5354/0719-0527.2018.51026","encontrado",200,"2026/09/08 16:21:19",,5,FALSE
"10.5354/0719-0527.2020.60652","encontrado",200,"2026/09/08 16:21:20",,4,FALSE
"10.5354/0719-0527.2022.71619","encontrado",200,"2026/09/08 16:21:21",,2,FALSE
"10.5354/0719-0527.2023.71619","no_encontrado",404,"2026/09/08 16:21:21",,0,FALSE
"10.5354/0719-0581.2018.50756","encontrado",200,"2026/09/08 16:21:22",,3,FALSE
"10.5354/0719-6296.2022.67000","encontrado",200,"2026/09/08 16:21:24",,1,FALSE
"10.5354/2735-6620.2021.61241","encontrado",200,"2026/09/08 16:21:24",,4,FALSE
"10.5354/2735-7279.2023.65757","encontrado",200,"2026/09/08 16:21:25",,1,FALSE
"10.6035/kult-ur.7941","encontrado",200,"2026/09/08 16:21:35",,3,FALSE
"10.6035/kult-ur.7942","encontrado",200,"2026/09/08 16:21:36",,1,FALSE
"10.6035/kult-ur.8203","encontrado",200,"2026/09/08 16:21:36",,1,FALSE
"10.61303/07190948.v25i.1248","encontrado",200,"2026/09/08 16:21:38",,3,FALSE
