doi,scopus_eid,scopus_citas,scopus_tipo_doc,scopus_keywords,scopus_abstract,scopus_issn,scopus_revista
10.1038/s41430-020-0665-9,2-s2.0-85085383112,2,Article,NA,"Background/objectives: To examine how much of the variation in weight-for-height (WHZ) z-scores were associated with age at which breastfeeding ceased and provision of fortified cow’s milk (Leche Purita Fortificada, LPF) commenced in a cohort of children studied from birth to 3 years of age. Subjects/methods: Longitudinal data were obtained from routine medical check-ups on 8373 children from nine Chilean counties through convenience sampling. WHZ z-scores were generated at six-monthly intervals using WHO 2006 standards from birth to 3 years old (seven measurements). Age of cessation of breastfeeding and age of commencement of LPF were the independent variables. Repeated-measures ANOVA were used to analyse the changes in WHZ over the seven measurements. Binomial generalised estimating equations (GEE) were used to analyse the effect of each independent variable on the change from normal to overweight, and normal to obese over the seven measurements. Results: ANOVA indicated that children given LPF milk before 3 months of age had, on average, higher mean WHZ of about 0.11 SD from 18 months of age onwards (p < 0.001). GEE analyses showed that children given LPF before 3 months of age were significantly more likely to be overweight or obese (OR = 1) compared with children given LPF later (overweight OR: 0.809–0.970, p = 0.009, obese (OR: 0.666–0.901, p = 0.001). Conclusions: Early intake of LPF increases WHZ and is a risk factor for overweight and obesity in young children, while prolonged breastfeeding acts as protective factor against obesity.",14765640 09543007,European Journal of Clinical Nutrition
10.29192/claeh.39.2.12,NA,NA,NA,NA,NA,NA,NA
10.1007/978-3-030-48442-2_6,2-s2.0-85150543304,2,Book Chapter,NA,"This chapter analyses compared social stratification in three Latin American countries (Argentina, Chile and Uruguay) and four European countries (Finland, France, Spain, Great Britain). We focus on both external and internal borders of social classes, as well as on the challenges posed by their analysis for sociology. We compare social classes using EGP6 in relation to a variety of social indicators, to examine how social classes vary among countries. We include debates on production models and welfare state policies to understand the specific configurations and compare the conditions of some of the INCASI countries regarding social stratification. Lastly, we apply a latent class analysis to validate the number of social classes and to recognise class boundaries.",NA,Towards a Comparative Analysis of Social Inequalities between Europe and Latin America
10.4067/S0718-22362020000200005,NA,NA,NA,NA,NA,NA,NA
10.31619/caledu.n53.518,NA,NA,NA,NA,NA,NA,NA
10.11600/1692715X.18206,2-s2.0-85093101541,4,Article,Adolescence; Child participation; Childhood; Educational evaluation; Environmental education,"Children and adolescents do not actively participate in environmental systems, projects and policies that are implemented, which implies a violation of their rights and a fatal mistake in the evaluations of these interventions. This research describes the results of a qualitative assessment of a local environmental education program through Children's Assemblies that involved the participation of 150 students between 6 and 14 years of age. These children were able to identify certain difficulties with the components of the program, gaps and best practices in their schools and a series of local and global socio-environmental problems. The authors conclude that these children are fully valid participants in the evaluation of social programs while identifying the need to include their opinions in the improvement of environmental projects.",20277679 1692715X,"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud"
10.5354/0719-0527.2020.60652,NA,NA,NA,NA,NA,NA,NA
10.1186/s12877-020-01866-4,2-s2.0-85096586903,21,Article,Alzheimer; Cognitive aging; Dementia; Functional decline; Geroscience; Subjective cognitive complaint,"Background: With the global population aging and life expectancy increasing, dementia has turned a priority in the health care system. In Chile, dementia is one of the most important causes of disability in the elderly and the most rapidly growing cause of death in the last 20 years. Cognitive complaint is considered a predictor for cognitive and functional decline, incident mild cognitive impairment, and incident dementia. The GERO cohort is the Chilean core clinical project of the Geroscience Center for Brain Health and Metabolism (GERO). The objective of the GERO cohort is to analyze the rate of functional decline and progression to clinical dementia and their associated risk factors in a community-dwelling elderly with subjective cognitive complaint, through a population-based study. We also aim to undertake clinical research on brain ageing and dementia disorders, to create data and biobanks with the appropriate infrastructure to conduct other studies and facilitate to the national and international scientific community access to the data and samples for research. Methods: The GERO cohort aims the recruitment of 300 elderly subjects (> 70 years) from Santiago (Chile), following them up for at least 3 years. Eligible people are adults not diagnosed with dementia with subjective cognitive complaint, which are reported either by the participant, a proxy or both. Participants are identified through a household census. The protocol for evaluation is based on a multidimensional approach including socio-demographic, biomedical, psychosocial, neuropsychological, neuropsychiatric and motor assessments. Neuroimaging, blood and stool samples are also obtained. This multidimensional evaluation is carried out in a baseline and 2 follow-ups assessments, at 18 and 36 months. In addition, in months 6, 12, 24, and 30, a telephone interview is performed in order to keep contact with the participants and to assess general well-being. Discussion: Our work will allow us to determine multidimensional risks factors associated with functional decline and conversion to dementia in elderly with subjective cognitive complain. The aim of our GERO group is to establish the capacity to foster cutting edge and multidisciplinary research on aging in Chile including basic and clinical research. Trial registration: NCT04265482 in ClinicalTrials.gov. Registration Date: February 11, 2020. Retrospectively Registered.",14712318,BMC Geriatrics
10.30849/ripijp.v54i1.1287,2-s2.0-85085329240,40,Article,COVID-19; Latin America; Mental health; Psychology,"In view of the rapid expansion of the new coronavirus (COVID-19) throughout the planet, this article presents a set of proposals developed by Latin American psychologists who seek to address this phenomenon from a regional perspective. In this sense, topics such as the problem of overinformation and the impact of health protocols on mental health in different areas and sectors of the population are presented. It is proposed here, in addition to gathering some knowledge provided by previous research and disseminating a set of resources to mitigate or palliate the effects of the pandemic, to contribute with some reflections regarding the role of psychologists as health professionals in this critical situation, as well as to warn or appeal to the corresponding national and international organizations.",00349690,Interamerican Journal of Psychology
10.22201/FCPYS.2448492XE.2020.239.69405,2-s2.0-85086038469,9,Article,Bibliographic Review; Memorial Model; Politics of Memory,"The study of policies of memory regarding human rights violations in military dictatorships, armed conflicts and civil wars in recent world history has had an important boom in recent decades, constituting grounds for symbolic disputes. The objective of this text was to conduct a bibliographic review of the work that has been developed around official and unofficial memory policies in the last ten years. The search yielded a result of 128 publications in databases such as scopus, ebsco, wos, Science Direct, Scielo and Dialnet. The analysis of these publications allowed for the identification of conceptualizations, characterizations and theoretical approaches around memory policies. The presence of a memorial model centered on victims is discussed, their stories being the most prominent in memory policies and their pain being the main asset for their construction.",2448492X 01851918,Revista Mexicana de Ciencias Politicas y Sociales
10.7714/CNPS/14.1.202,NA,NA,NA,NA,NA,NA,NA
10.22199/issn.0718-1043-2020-0007,2-s2.0-85087860335,7,Article,Andes; Calama; Mitochondrial DNA; Mobility,"Studies of genetic markers of uniparental inheritance, such as mitochondrial DNA have been used successfully to study the settlement, history and origins of human populations. In the Chilean population, most published articles on the subject have been carried out with populations from southern Chile, leaving a gap on our knowledge about northern populations. In order to delve into population dynamics of the coast and interior valleys of the Antofagasta region, we analyzed 207 individuals from the cities of Antofagasta and Calama, to determine the frequency of mitochondrial haplogroups in each one. The results show a significant difference between the coast and the valleys; despite their geographical proximity, the genetic differences between them suggest they can be considered different population units. These differences probably result from the social and cultural patterns of these populations in the past, which, due to their kinship networks, were developing different ways of life over time: the coast and the puna lifestyles, leaving a biological imprint that lasts to this day.",07160925,Estudios Atacamenos
10.1590/S0104-12902020181168,2-s2.0-85100575920,1,Article,Criminal abortion; Induced abortion; Ultrasonography,"In this article we investigate the situation of pre-abortion ultrasound examination in a context of illegality, attending to the discursive practices of professionals who mediate viewing experiences, from the perspective of the experiences and interpretive repertoires of young women who were submitted to the examination. In-depth interviews were conducted with 25 women who had an abortion in the university period and who did a pre-abortion ultrasound. The material was transcribed and analyzed from the interpretive paradigm. Abortion is ignored in the examination situation through a particular discursive practice of professionals around the personification of the fetus and the naturalization of the maternal-fetal bond. The examination encourages the woman to see and meet the fetus, while she rejects the invitation to participate in the visualization. This women do not produce the hegemonic or dominant link between images, languages, and emotions that would make them mothers, but neither do they produce an alternative link that allows them to experience ultrasound consistent with the decision to interrupt the pregnancy. In this way, the ultrasound situation translates into an experience of normative violence for women.",01041290,Saude e Sociedade
10.25222/larr.464,2-s2.0-85090854361,9,Article,NA,"The study of poverty and wealth attribution has played a central role in the literature on the justification of social inequalities. Research on this topic has examined the extent to which individualistic versus structural reasons are used to explain why some people reach advantaged or disadvantaged positions in comparison to the rest of the population. This article attempts to explain how these reasons have changed over time in Chile, which has experienced vast economic transformation yet has maintained income inequality. From two national surveys produced in 1996 and 2015, descriptive results show that individualistic attributions for poverty and wealth (e.g., personal initiative) have increased and structural reasons (e.g., unemployment, economic policy) have declined. Latent class analysis (LCA) offers a second reading of the data, demonstrating that the decline of structural attributions is related to an increase in people choosing both individualistic and structural reasons for explaining poverty and wealth. Those changes in attribution patterns are discussed within the frame of cultural and economic transformation in Chilean society.",15424278 00238791,Latin American Research Review
10.1186/s40659-020-00284-5,2-s2.0-85083587855,26,Article,Admixture; Ancestry; Aymara; Chile; Mapuche; SNPs panel,"Background: Current South American populations trace their origins mainly to three continental ancestries, i.e. European, Amerindian and African. Individual variation in relative proportions of each of these ancestries may be confounded with socio-economic factors due to population stratification. Therefore, ancestry is a potential confounder variable that should be considered in epidemiologic studies and in public health plans. However, there are few studies that have assessed the ancestry of the current admixed Chilean population. This is partly due to the high cost of genome-scale technologies commonly used to estimate ancestry. In this study we have designed a small panel of SNPs to accurately assess ancestry in the largest sampling to date of the Chilean mestizo population (n = 3349) from eight cities. Our panel is also able to distinguish between the two main Amerindian components of Chileans: Aymara from the north and Mapuche from the south. Results: A panel of 150 ancestry-informative markers (AIMs) of SNP type was selected to maximize ancestry informativeness and genome coverage. Of these, 147 were successfully genotyped by KASPar assays in 2843 samples, with an average missing rate of 0.012, and a 0.95 concordance with microarray data. The ancestries estimated with the panel of AIMs had relative high correlations (0.88 for European, 0.91 for Amerindian, 0.70 for Aymara, and 0.68 for Mapuche components) with those obtained with AXIOM LAT1 array. The country's average ancestry was 0.53 ± 0.14 European, 0.04 ± 0.04 African, and 0.42 ± 0.14 Amerindian, disaggregated into 0.18 ± 0.15 Aymara and 0.25 ± 0.13 Mapuche. However, Mapuche ancestry was highest in the south (40.03%) and Aymara in the north (35.61%) as expected from the historical location of these ethnic groups. We make our results available through an online app and demonstrate how it can be used to adjust for ancestry when testing association between incidence of a disease and nongenetic risk factors. Conclusions: We have conducted the most extensive sampling, across many different cities, of current Chilean population. Ancestry varied significantly by latitude and human development. The panel of AIMs is available to the community for estimating ancestry at low cost in Chileans and other populations with similar ancestry.",07176287 07169760,Biological Research
