"clave_pub","doi","nombre_autor","institucion_indonesia"
"10.1002/casp.2572","10.1002/casp.2572","Cokorda Bagus J. Lesmana","Udayana University"
"10.1002/casp.2572","10.1002/casp.2572","Hamdi Muluk","University of Indonesia"
"10.1002/casp.2572","10.1002/casp.2572","Joevarian Hudiyana","University of Indonesia"
"10.1002/casp.2572","10.1002/casp.2572","Mirra Noor Milla","University of Indonesia"
"10.1002/ejsp.2968","10.1002/ejsp.2968","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1002/ejsp.2968","10.1002/ejsp.2968","Hamdi Muluk","University of Indonesia"
"10.1002/ejsp.2968","10.1002/ejsp.2968","Joevarian Hudiyana","University of Indonesia"
"10.1002/ejsp.2968","10.1002/ejsp.2968","Mirra Noor Milla","University of Indonesia"
"10.1007/s11199-024-01453-6","10.1007/s11199-024-01453-6","Hamdi Muluk","University of Indonesia"
"10.1007/s11199-024-01453-6","10.1007/s11199-024-01453-6","Joevarian Hudiyana","University of Indonesia"
"10.1007/s12144-024-06989-0","10.1007/s12144-024-06989-0","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1007/s12144-024-06989-0","10.1007/s12144-024-06989-0","Joevarian Hudiyana","University of Indonesia"
"10.1007/s12144-024-06989-0","10.1007/s12144-024-06989-0","Mirra N. Milla","University of Indonesia"
"10.1016/j.cresp.2021.100028","10.1016/j.cresp.2021.100028","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1016/j.cresp.2021.100028","10.1016/j.cresp.2021.100028","Hamdi Muluk","University of Indonesia"
"10.1016/j.cresp.2021.100028","10.1016/j.cresp.2021.100028","Joevarian Hudiyana","University of Indonesia"
"10.1016/j.cresp.2021.100028","10.1016/j.cresp.2021.100028","Mirra Noor Milla","University of Indonesia"
"10.1016/j.patter.2022.100482","10.1016/j.patter.2022.100482","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1016/j.patter.2022.100482","10.1016/j.patter.2022.100482","Joevarian Hudiyana","University of Indonesia"
"10.1016/j.patter.2022.100482","10.1016/j.patter.2022.100482","Maja Kutlaca","Udayana University"
"10.1016/j.patter.2022.100482","10.1016/j.patter.2022.100482","Mirra Noor Milla","University of Indonesia"
"10.1016/j.patter.2022.100482","10.1016/j.patter.2022.100482","Robin Wollast","Udayana University"
"10.1016/j.pmedr.2022.101764","10.1016/j.pmedr.2022.101764","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1016/j.pmedr.2022.101764","10.1016/j.pmedr.2022.101764","Hamdi Muluk","University of Indonesia"
"10.1016/j.pmedr.2022.101764","10.1016/j.pmedr.2022.101764","Joevarian Hudiyana","University of Indonesia"
"10.1016/j.pmedr.2022.101764","10.1016/j.pmedr.2022.101764","Mirra Noor Milla","University of Indonesia"
"10.1037/emo0001118","10.1037/emo0001118","Anne Margit Reitsema","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Arie W. Kruglanski","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Ben Gützkow","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Bertus F. Jeronimus","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Birga M. Schumpe","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Caspar J. Van Lissa","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Claudia F. Nisa","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Daiane Gracieli Faller","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Daniela Di Santo","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Edward P. Lemay","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Evgeny N. Osin","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Hamdi Muluk","University of Indonesia"
"10.1037/emo0001118","10.1037/emo0001118","Jasmina Mehulić","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Joevarian Hudiyana","University of Indonesia"
"10.1037/emo0001118","10.1037/emo0001118","Jolien Anne van Breen","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Jose Javier Olivas Osuna","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Kamila Kovyazina","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Karen M. Douglas","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Kira O. McCabe","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Michael Vicente Stanton","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Michelle K. Ryan","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Michelle R. vanDellen","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Mirra Noor Milla","Udayana University | University of Indonesia"
"10.1037/emo0001118","10.1037/emo0001118","Nóra Anna Lantos","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Robbie M. Sutton","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Tra Thi Thanh Kieu","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Veljko Jovanović","Udayana University"
"10.1037/emo0001118","10.1037/emo0001118","Winnifred R. Louis","Udayana University"
"10.1038/s41586-021-03902-8","10.1038/s41586-021-03902-8","Abdul Salam M. Sofro","Yarsi University"
"10.1038/s41598-021-04703-9","10.1038/s41598-021-04703-9","Cokorda Bagus J. Lesmana","Udayana University"
"10.1038/s41598-021-04703-9","10.1038/s41598-021-04703-9","Hamdi Muluk","University of Indonesia"
"10.1038/s41598-021-04703-9","10.1038/s41598-021-04703-9","Joevarian Hudiyana","University of Indonesia"
"10.1038/s41598-021-04703-9","10.1038/s41598-021-04703-9","Mirra Noor Milla","University of Indonesia"
"10.1038/s41598-021-88314-4","10.1038/s41598-021-88314-4","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1038/s41598-021-88314-4","10.1038/s41598-021-88314-4","Hamdi Muluk","University of Indonesia"
"10.1038/s41598-021-88314-4","10.1038/s41598-021-88314-4","Joevarian Hudiyana","University of Indonesia"
"10.1038/s41598-021-88314-4","10.1038/s41598-021-88314-4","Mirra Noor Milla","University of Indonesia"
"10.1080/10410236.2021.2018179","10.1080/10410236.2021.2018179","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1080/10410236.2021.2018179","10.1080/10410236.2021.2018179","Hamdi Muluk","University of Indonesia"
"10.1080/10410236.2021.2018179","10.1080/10410236.2021.2018179","Joevarian Hudiyana","University of Indonesia"
"10.1080/10410236.2021.2018179","10.1080/10410236.2021.2018179","Mirra Noor Milla","University of Indonesia"
"10.1111/spc3.12909","10.1111/spc3.12909","Cokorda Bagus Jaya Lesmana","Udayana University"
"10.1111/spc3.12909","10.1111/spc3.12909","Hamdi Muluk","University of Indonesia"
