"orcid_id","titulo","tipo","anio","put_code","doi","revista","issn","editorial","oa_status","citas","revista_openalex"
"0000-0002-0999-4983","Evacuación en zonas de interfaz urbano forestal: Desafíos para la gestión de incendios forestales","journal-article","2024","191003973",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","(DES) COORDINACIÓN DE LA OFERTA: OBSERVACIÓN DE ESTRATEGIAS PARA ABORDAR LA VIOLENCIA EN EL POLOLEO CON JUVENTUDES DE PUERTO AYSÉN","journal-article","2024","172230789",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Reincidencia delictual en Chile: Explorando la confluencia de factores institucionales, individuales y territoriales","book-chapter","2024","172230866",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Desafíos para la implementación de políticas públicas desde un enfoque de derechos sociales","journal-article","2023","191003729",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Prototipo de gestión integrada para una reinserción social eficaz: Una propuesta I+D para la reforma penitenciaria en Chile","book-chapter","2023","172230948",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Espacio y educación: desafíos de la enseñanza a distancia en el contexto de la pandemia por COVID 19","journal-article","2021","147730330","10.47456/simbitica.v8i3.36815","Simbiótica. Revista Eletrônica","2316-1620","Universidade Federal do Espirito Santo",NA,1,NA
"0000-0002-0999-4983","Coordinación organizacional desde la teoría de sistemas sociales","journal-article","2021","147727239","10.5354/0719-0527.2021.64776","Revista MAD","0718-0527; 0718-0527","Universidad de Chile",NA,0,NA
"0000-0002-0999-4983","De la revuelta a la pandemia. Claves para comprender un año de crisis en Chile","journal-article","2021","147731091",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Inmate-on-Inmate Prison Violence in Chile: The Importance of the Institutional Context and Proper Supervision","journal-article","2021","147376784","10.1177/0886260520906177","Journal of Interpersonal Violence","0886-2605; 1552-6518","SAGE Publications",NA,25,NA
"0000-0002-0999-4983","La improbabilidad de la transformación social efectiva: una reflexión en torno a los déficits de política pública en Chile","journal-article","2021","147727404",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Espacialidades en la intervención social: aproximaciones y desafíos","book","2020","147726755",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","TRABAJO SOCIAL SIN TERRITORIO: LA TRAMPA DE LO COMUNITARIO","book-chapter","2020","181035037",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","El botín de los vencedores. La doble paradoja de la educación superior “pública” y el Trabajo Social Chileno","journal-article","2019","64793648","10.12957/rep.2019.45215","Revista Em Pauta","2238-3786; 1414-8609","Universidade do Estado do Rio de Janeiro",NA,0,NA
"0000-0002-0999-4983","Envejecer en Valparaíso. Memorias urbanas de la poblacion adulta mayor y desafios para la intervencion social","journal-article","2019","147727503",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Territorios de exclusión Observando dinámicas de inclusión/exclusión en sistemas territoriales complejos del Gran Santiago","journal-article","2019","147727638",NA,NA,NA,NA,NA,NA,NA
"0000-0002-0999-4983","Logics of self-observation of the failure for an effective innovation","journal-article","2018","196508595","10.5354/0719-0527.2018.51026","Revista MAD","0718-0527; 0718-0527","Universidad de Chile",NA,1,NA
"0000-0002-0999-4983","Lógicas de auto observación de la falla para una innovación efectiva","journal-article","2018","147729584",NA,NA,NA,NA,NA,NA,NA
